MH 45  9.85%
 1.0000000     0.0000000
 0.9966941    -0.0000972
 0.9866978    -0.0001910
 0.9701428     0.0001941
 0.9474814     0.0013585
 0.9191931     0.0034046
 0.8857772     0.0064063
 0.8477927     0.0104347
 0.8059548     0.0155573
 0.7611412     0.0216418
 0.7141290     0.0283271
 0.6655627     0.0352256
 0.6159816     0.0419294
 0.5658112     0.0481178
 0.5154593     0.0535552
 0.4653106     0.0580945
 0.4157967     0.0616687
 0.3673929     0.0642166
 0.3205639     0.0656697
 0.2757598     0.0659649
 0.2333716     0.0650272
 0.1937174     0.0628477
 0.1571062     0.0594751
 0.1238263     0.0549906
 0.0941495     0.0495019
 0.0683223     0.0431253
 0.0465307     0.0359694
 0.0288643     0.0282031
 0.0153853     0.0200625
 0.0060665     0.0118942
 0.0012524     0.0049032
 0.0004577     0.0027744
 0.0000521     0.0008029
 0.0000143    -0.0003962
 0.0002183    -0.0014547
 0.0007479    -0.0024361
 0.0015971    -0.0034357
 0.0033409    -0.0049658
 0.0055948    -0.0065309
 0.0177427    -0.0122039
 0.0341415    -0.0172544
 0.0552439    -0.0219099
 0.0807800    -0.0259392
 0.1105745    -0.0290928
 0.1445340    -0.0312784
 0.1824455    -0.0325415
 0.2240104    -0.0329526
 0.2688409    -0.0326266
 0.3164713    -0.0316607
 0.3664005    -0.0301544
 0.4180987    -0.0282151
 0.4709851    -0.0259780
 0.5244363    -0.0235532
 0.5778085    -0.0210498
 0.6304452    -0.0185449
 0.6816941    -0.0161113
 0.7309137    -0.0137834
 0.7775034    -0.0115888
 0.8209062    -0.0095471
 0.8605887    -0.0076970
 0.8960484    -0.0060425
 0.9268384    -0.0045854
 0.9525708    -0.0033026
 0.9729213    -0.0021713
 0.9876894    -0.0011255
 0.9968320    -0.0003044
 1.0000000     0.0000000
